CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,0,No,No,35,Yes,No,No,No internet service,No internet service,One year,Yes,Electronic check,21.64,795.7,No
CUST0002,Female,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,Electronic check,78.99,4009.23,No
CUST0003,Male,0,Yes,No,37,Yes,Yes,DSL,No,Yes,Month-to-month,No,Mailed check,72.52,2702.44,No
CUST0004,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,Electronic check,95.13,5447.7,Yes
CUST0005,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,One year,No,Credit card (automatic),99.36,760.03,No
CUST0006,Female,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.74,544.86,No
CUST0007,Male,1,No,No,53,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,Bank transfer (automatic),108.77,5763.09,No
CUST0008,Male,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,Mailed check,77.89,920.25,Yes
CUST0009,Male,1,No,No,49,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),34.62,1678.59,No
CUST0010,Female,0,No,No,17,No,No phone service,Fiber optic,No,Yes,Month-to-month,Yes,Electronic check,91.53,1574.65,Yes
CUST0011,Male,0,No,Yes,64,Yes,No,DSL,No,Yes,One year,No,Credit card (automatic),70.09,4457.35,No
CUST0012,Male,0,No,No,42,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,Mailed check,65.7,2780.34,No
CUST0013,Male,1,No,No,29,Yes,No,Fiber optic,No,Yes,Two year,No,Credit card (automatic),85.22,2514.88,No
CUST0014,Male,1,Yes,No,19,Yes,No,DSL,No,No,Two year,No,Mailed check,68.91,1315.81,No
CUST0015,Female,0,Yes,No,11,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.8,294.94,Yes
CUST0016,Male,0,Yes,No,50,Yes,Yes,Fiber optic,No,No,Two year,No,Bank transfer (automatic),71.61,3537.39,No
CUST0017,Female,0,No,Yes,71,Yes,No,DSL,No,No,Month-to-month,Yes,Electronic check,52.87,3790.22,No
CUST0018,Female,0,No,No,58,Yes,No,Fiber optic,No,Yes,Two year,No,Mailed check,73.53,4243.28,No
CUST0019,Female,1,Yes,No,34,Yes,No,Fiber optic,Yes,Yes,Two year,Yes,Electronic check,109.83,3745.73,No
CUST0020,Male,0,No,No,20,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.83,424.51,No
CUST0021,Female,0,Yes,No,50,Yes,No,No,No internet service,No internet service,One year,No,Credit card (automatic),33.07,1663.05,No
